T_pre,T_post,ManufacturingTime,C_dia
289.250000,286.550000,65.620000,1.375198
289.250000,286.650000,64.779000,1.407851
289.250000,286.750000,63.947000,1.440660
289.250000,286.850000,63.122000,1.473671
289.250000,286.950000,62.306000,1.506815
289.250000,287.050000,61.498000,1.540105
289.250000,287.150000,60.699000,1.573501
289.250000,287.250000,59.908000,1.607013
289.250000,287.350000,59.126000,1.640597
289.250000,0.000000,13.731000,nan
289.250000,0.000000,13.731000,nan
289.350000,286.250000,68.005000,1.281110
289.350000,286.350000,67.142000,1.313142
289.350000,286.450000,66.287000,1.345388
289.350000,286.550000,65.438000,1.377897
289.350000,286.650000,64.597000,1.410602
289.350000,286.750000,63.764000,1.443492
289.350000,286.850000,62.939000,1.476557
289.350000,286.950000,62.122000,1.509783
289.350000,287.050000,61.313000,1.543156
289.350000,287.150000,60.513000,1.576634
289.350000,287.250000,59.721000,1.610229
289.350000,287.350000,58.939000,1.643869
289.350000,0.000000,13.576000,nan
289.350000,0.000000,13.576000,nan
289.450000,286.250000,67.829000,1.283502
289.450000,286.350000,66.966000,1.315582
289.450000,286.450000,66.109000,1.347935
289.450000,286.550000,65.260000,1.380494
289.450000,286.650000,64.418000,1.413279
289.450000,286.750000,63.584000,1.446249
289.450000,286.850000,62.758000,1.479395
289.450000,286.950000,61.940000,1.512701
289.450000,287.050000,61.130000,1.546155
289.450000,287.150000,60.330000,1.579687
289.450000,287.250000,59.538000,1.613336
289.450000,287.350000,58.755000,1.647058
289.450000,0.000000,13.423000,nan
289.450000,0.000000,13.423000,nan
289.550000,286.250000,67.657000,1.285805
289.550000,286.350000,66.793000,1.317961
289.550000,286.450000,65.935000,1.350389
289.550000,286.550000,65.085000,1.383025
289.550000,286.650000,64.242000,1.415887
289.550000,286.750000,63.407000,1.448936
289.550000,286.850000,62.581000,1.482132
289.550000,286.950000,61.762000,1.515518
289.550000,287.050000,60.952000,1.549024
289.550000,287.150000,60.150000,1.582663
289.550000,287.250000,59.357000,1.616391
289.550000,287.350000,58.574000,1.650165
289.550000,0.000000,13.271000,nan
289.550000,0.000000,13.271000,nan
289.650000,286.250000,67.485000,1.288097
289.650000,286.350000,66.620000,1.320329
289.650000,286.450000,65.761000,1.352834
289.650000,286.550000,64.910000,1.385547
289.650000,286.650000,64.067000,1.418459
289.650000,286.750000,63.231000,1.451586
289.650000,286.850000,62.404000,1.484861
289.650000,286.950000,61.584000,1.518325
289.650000,287.050000,60.773000,1.551911
289.650000,287.150000,59.971000,1.585602
289.650000,287.250000,59.178000,1.619382
289.650000,287.350000,58.394000,1.653236
289.650000,0.000000,13.122000,nan
289.650000,0.000000,13.122000,nan
289.750000,286.250000,67.318000,1.290294
289.750000,286.350000,66.452000,1.322598
289.750000,286.450000,65.593000,1.355149
289.750000,286.550000,64.741000,1.387936
289.750000,286.650000,63.897000,1.420923
289.750000,286.750000,63.060000,1.454126
289.750000,286.850000,62.232000,1.487477
289.750000,286.950000,61.412000,1.520990
289.750000,287.050000,60.600000,1.554653
289.750000,287.150000,59.797000,1.588420
289.750000,287.250000,59.004000,1.622251
289.750000,287.350000,58.219000,1.656182
289.750000,0.000000,12.974000,nan
289.750000,0.000000,12.974000,nan
289.850000,286.250000,67.152000,1.292460
289.850000,286.350000,66.285000,1.324837
289.850000,286.450000,65.425000,1.357461
289.850000,286.550000,64.573000,1.390294
289.850000,286.650000,63.728000,1.423356
289.850000,286.750000,62.890000,1.456634
289.850000,286.850000,62.061000,1.490061
289.850000,286.950000,61.241000,1.523623
289.850000,287.050000,60.428000,1.557361
289.850000,287.150000,59.625000,1.591178
289.850000,287.250000,58.830000,1.625113
289.850000,287.350000,58.045000,1.659093
289.850000,0.000000,12.828000,nan
289.850000,0.000000,12.828000,nan
0.000000,286.250000,0.002000,nan
0.000000,286.350000,0.002000,nan
0.000000,286.450000,0.002000,nan
0.000000,286.550000,0.002000,nan
0.000000,286.650000,0.002000,nan
0.000000,286.750000,0.002000,nan
0.000000,286.850000,0.002000,nan
0.000000,286.950000,0.002000,nan
0.000000,287.050000,0.002000,nan
0.000000,287.150000,0.002000,nan
0.000000,287.250000,0.002000,nan
